_editors_choice,_game_types,_comments,_price,_updated,_size,_installs,_version,_required_android,_content_rating,_interactive_elements,_in_app_products,_offered_by,_developer
0,"['Noodlecake Studios Inc', 'Simulation']","6,315 total",₹430.00 Buy,6 October 2020,129M,"100,000+",1.9.4,5.0 and up,"Rated for 3+
Learn more",none,none,Noodlecake Studios Inc,"Visit website
support+getoverit@noodlecake.com
Privacy Policy
#207 - 262 Avenue B South Saskatoon, SK, Canada S7M 1M4"
0,"['ZITGA', 'Action']","1,371 total",₹20.00 Buy,25 November 2020,124M,"100,000+",1.11.18,5.0 and up,"Rated for 3+
Learn more",In-game purchases,"₹36.00 – ₹3,600.00 per item",ZITGA,"ezgcyberfighters@gmail.com
Privacy Policy
360 Giai Phong, Thanh Xuan, Hanoi, Vietnam"
0,"['Net Tech Development Ltd', 'Action']","13,987 total",₹119.03 Buy,4 February 2015,1.1M,"100,000+",2.3,2.3 and up,"Rated for 18+
Extreme violence, Strong language
Learn more",none,none,Net Tech Development Ltd,"Visit website
jdroid@live.co.uk
Net Tech Development Ltd Kirkstall Garstang Road Preston PR3 6AR"
Editors' Choice,"['Ironhide Games', 'Strategy']","48,661 total",₹30.00 Buy,7 July 2020,45M,"100,000+",1.5.21,5.0 and up,"Rated for 7+
Mild violence
Learn more",none,"₹30.00 – ₹5,600.00 per item",Ironhide Games,"Visit website
support@ironmarines.com
Privacy Policy
Bartolomé Mitre 1441 of 601 Montevideo Montevideo 11000 Uruguay"
0,"['505 Games Srl', 'Puzzle']","14,169 total",₹500.00 Buy,6 May 2020,40M,"100,000+",1.2,5.0 and up,"Rated for 3+
Learn more",none,none,505 Games Srl,"Visit website
help@505games.com
Privacy Policy
5145 Douglas Fir Rd Calabasas, CA 91302"
0,"['ClockStone STUDIO', 'Simulation']","50,072 total",₹67.00 Buy,9 December 2019,52M,"1,000,000+",8.2,4.1 and up,"Rated for 3+
Learn more",Digital purchases,₹62.14 – ₹190.00 per item,ClockStone STUDIO,"Visit website
support@clockstone.com
Privacy Policy
Claudiastraße 13 6020 Innsbruck Austria"
0,"['Halfbrick Studios', 'Arcade']","88,356 total",₹50.00 Buy,24 July 2020,Varies with device,"1,000,000+",2.4.6,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹60.00 – ₹3,100.00 per item",Halfbrick Studios,"Visit website
fruitninja@halfbrick.com
Privacy Policy
23 Musgrave Road, Red Hill, Queensland 4059, Australia"
0,"['Ironhide Games', 'Strategy']","1,19,636 total",₹30.00 Buy,1 July 2020,Varies with device,"1,000,000+",4.2.25,Varies with device,"Rated for 7+
Mild violence
Learn more",none,"₹20.00 – ₹1,200.00 per item",Ironhide Games,"Visit website
android@ironhidegames.com
Privacy Policy
Bartolomé Mitre 1441 of 601 Montevideo Montevideo 11000 Uruguay"
0,"['Reed Been', 'Action']","6,892 total",₹30.00 Buy,10 October 2020,47M,"1,000,000+",3.0.0,4.4 and up,"Rated for 7+
Mild violence
Learn more",Digital purchases,"₹65.00 – ₹6,500.00 per item",Reed Been,"Visit website
reedbeen123@gmail.com
Privacy Policy
VN"
0,"['Rohit Gaming Studio', 'Simulation']",91 total,₹50.00 Buy,6 September 2020,54M,"1,000+",16,4.1 and up,"Rated for 3+
Learn more",none,none,Rohit Gaming Studio,"paypal17rc@gmail.com
Privacy Policy
Bharatwada mahuzari Nagpur"
0,"['ZigZaGame Inc.', 'Role Playing']","2,83,632 total",₹10.00 Buy,10 December 2020,71M,"1,000,000+",1.0.59,4.4 and up,"Rated for 12+
Sexual innuendo
Learn more","Users interact, Digital purchases","₹79.00 – ₹6,200.00 per item",ZigZaGame Inc.,"Visit website
evertalesupport@zigzagame.com
Privacy Policy
NT Building 11F, Oi 1-47-1 Shinagawa-ku Tokyo, 140-0014 Japan"
0,"['Ironhide Games', 'Strategy']","1,47,978 total",₹20.00 Buy,4 November 2020,Varies with device,"1,000,000+",4.2.32,Varies with device,"Rated for 7+
Mild violence
Learn more",none,"₹10.00 – ₹2,800.00 per item",Ironhide Games,"Visit website
contact@ironhidegames.com
Privacy Policy
Bartolomé Mitre 1441 of 601 Montevideo Montevideo 11000 Uruguay"
0,"['Rockstar Games', 'Adventure']","17,983 total",₹182.00 Buy,13 February 2019,51M,"100,000+",2.4,4.0 and up,"Rated for 18+
Extreme violence, Strong language
Learn more",none,none,Rockstar Games,"Visit website
support@Rockstargames.com
Privacy Policy
622 Broadway 6th Floor New York NY 10012"
0,"['Robot Circus', 'Role Playing']","3,464 total",₹10.00 Buy,4 August 2020,40M,"10,000+",1.6.26,6.0 and up,"Rated for 12+
Moderate violence
Learn more",none,none,Robot Circus,"Visit website
info@robot-circus.com
Privacy Policy
Level 2, 1 Lygon St Carlton VIC 3053 Australia"
0,"['One-Touch Games', 'Simulation']",145 total,₹20.00 Buy,2 September 2020,40M,"1,000+",10,4.1 and up,"Rated for 3+
Learn more",none,none,One-Touch Games,"dipakbalasokattikar@gmail.com
Privacy Policy
Belanki / Maharashtra/ India"
0,"['ONESOFT', 'Arcade']","8,446 total",₹30.00 Buy,8 December 2020,97M,"500,000+",30.8,4.1 and up,"Rated for 7+
Mild violence
Learn more",none,"₹30.00 – ₹6,000.00 per item",ONESOFT,"Visit website
contact@abigame.com.vn
Privacy Policy
470 NORTH BRIDGE ROAD, SINGAPORE"
0,"['Vector Unit', 'Racing']","9,988 total",₹69.00 Buy,29 May 2020,93M,"100,000+",1.2.3,4.1 and up,"Rated for 7+
Implied violence, Mild violence
Learn more",Users interact,none,Vector Unit,"Visit website
support@vectorunit.com
Privacy Policy
930 Irwin Street, Suite 209 San Rafael, CA 94901 USA"
0,"['Real Games srls', 'Racing']","59,495 total",₹55.00 Buy,19 February 2020,51M,"500,000+",5.0.7,4.1 and up,"Rated for 3+
Learn more",Digital purchases,₹55.00 – ₹662.95 per item,Real Games srls,"realdrift@unitypackages.net
Privacy Policy
via Meucci 84, 20128 Milano Italy"
0,"['DreamSky', 'Action']","94,221 total",₹10.00 Buy,26 November 2020,44M,"5,000,000+",5.9.8,4.0.3 and up,"Rated for 12+
Moderate violence
Learn more",In-game purchases,"₹64.17 – ₹6,721.80 per item",DreamSky,"Visit website
leagueofstickman@dreamsky.me
Privacy Policy
Rooms 05-15, 13A/F., South Tower, World Finance Centre, Harbour City, 17 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong. Tel：00852-22060092 Fax：00852-30030133"
0,"['Vector Unit', 'Racing']","37,502 total",₹69.00 Buy,9 April 2015,45M,"500,000+",1.3.1,2.3 and up,"Rated for 3+
Learn more",Digital purchases,"₹110.00 – ₹5,500.00 per item",Vector Unit,"Visit website
support@vectorunit.com
Privacy Policy
930 Irwin Street, Suite 209 San Rafael, CA 94901 USA"
0,"['Net Tech Development Ltd', 'Arcade']","4,153 total",₹77.53 Buy,14 April 2015,1.7M,"100,000+",1.7,2.3 and up,"Rated for 18+
Extreme violence, Strong language
Learn more",none,none,Net Tech Development Ltd,"Visit website
jdroid@live.co.uk
Net Tech Development Ltd Kirkstall Garstang Road Preston PR3 6AR"
0,"['SEGA', 'Sports']","2,425 total",₹799.00 Buy,30 November 2020,Varies with device,"50,000+",Varies with device,4.4 and up,"Rated for 3+
Learn more",In-game purchases,"₹89.00 – ₹1,299.00 per item",SEGA,"Visit website
help@sega.co.uk
Privacy Policy
Sega of America, Inc 6400 Oak Canyon, Suite 100 Irvine, CA 92618"
0,"['SENSPARK CO., LTD', 'Adventure']","9,402 total",₹19.00 Buy,25 October 2019,32M,"500,000+",2.5,4.2 and up,"Rated for 3+
Learn more",none,₹65.00 – ₹650.00 per item,"SENSPARK CO., LTD","Visit website
senspark.gudo@gmail.com
Privacy Policy
Asia Square, Singapore"
0,"['Rainbow Train', 'Puzzle']","30,072 total",₹10.00 Buy,18 January 2020,27M,"500,000+",1.1,4.1 and up,"Rated for 3+
Learn more",none,none,Rainbow Train,"Visit website
maciej@rainbowtrain.eu
Privacy Policy
Miedzylesie 32 66-213 Skąpe"
0,"['Henrik Rydgård', 'Action']","17,437 total",₹120.00 Buy,12 July 2020,13M,"100,000+",1.10.3,2.3 and up,"Rated for 3+
Learn more",none,none,Henrik Rydgård,"Visit website
hrydgard+ppssppgold@gmail.com
Privacy Policy
Henrik Rydgård Hornsbergs Strand 43 112 16 Stockholm Sweden"
0,"['Ironhide Games', 'Strategy']","54,489 total",₹60.00 Buy,17 July 2020,39M,"100,000+",1.9.10,4.4 and up,"Rated for 7+
Mild violence
Learn more",none,"₹60.00 – ₹8,200.00 per item",Ironhide Games,"Visit website
android@ironhidegames.com
Privacy Policy
Bartolomé Mitre 1441 of 601 Montevideo Montevideo 11000 Uruguay"
0,"['ELECTRONIC ARTS', 'Racing']","2,17,294 total",₹449.00 Buy,20 December 2018,19M,"1,000,000+",1.3.128,4.1 and up,"Rated for 7+
Implied violence
Learn more",Digital purchases,"₹269.00 – ₹2,199.00 per item",ELECTRONIC ARTS,"Visit website
help@eamobile.com
Privacy Policy
Geneva, Switzerland"
0,"['astragon Entertainment GmbH', 'Simulation']","1,09,876 total",₹65.00 Buy,2 April 2015,19M,"1,000,000+",1.12,4.0.3 and up,"Rated for 3+
Learn more",Digital purchases,"₹74.71 – ₹2,097.85 per item",astragon Entertainment GmbH,"Visit website
support@astragon.de
Privacy Policy
astragon Entertainment GmbH Am Wehrhahn 33 40211 Düsseldorf Germany"
0,"['ONESOFT', 'Arcade']","18,982 total",₹20.00 Buy,8 December 2020,94M,"1,000,000+",1.478,4.4 and up,"Rated for 7+
Mild violence
Learn more","Users interact, In-game purchases","₹30.00 – ₹3,000.00 per item",ONESOFT,"Visit website
customer.service@onesoft.com.vn
Privacy Policy
470 NORTH BRIDGE ROAD, SINGAPORE"
0,"['AGaming+', 'Action']","2,764 total",₹140.00 ₹15.00 Buy,15 November 2019,33M,"50,000+",3.02,4.4 and up,"Rated for 16+
Strong violence
Learn more",none,none,AGaming+,"Visit website
agamingandroid@gmail.com
Privacy Policy
Ukraine, Kiev region., 07400 Brovary Karalenka"
0,"['Torn Screen Entertainment,Inc.', 'Board']","1,378 total",₹139.90 Buy,13 January 2019,15M,"10,000+",1064,4.0 and up,"Rated for 3+
Learn more",none,none,"Torn Screen Entertainment,Inc.","Visit website
torn.screen.ent@gmail.com
Privacy Policy
4330 N Civic Plaza Suite 100 Scottsdale, AZ 85305"
0,"['Rockstar Games', 'Action']","28,237 total",₹121.00 Buy,21 May 2019,18M,"100,000+",1.04,7.0 and up,"Rated for 18+
Extreme violence, Gambling
Learn more",none,none,Rockstar Games,"Visit website
gtactwandroidsupport@rockstargames.com
Privacy Policy
622 Broadway 6th Floor New York NY 10012"
0,"['NEKKI', 'Action']","25,398 total",₹319.99 Buy,19 August 2020,110M,"100,000+",1.0.10,4.1 and up,"Rated for 12+
Moderate violence
Learn more",Digital purchases,"₹69.99 – ₹3,349.99 per item",NEKKI,"Visit website
support@nekki.mail.helpshift.com
Privacy Policy
116 Gladstonos Street M. KYPRIANOU HOUSE, 3&4 floor, 3032, Limassol, Cyprus."
0,"['AI Factory Limited', 'Board']","11,374 total",₹160.00 Buy,23 November 2020,16M,"100,000+",3.281,4.4 and up,"Rated for 3+
Learn more",none,none,AI Factory Limited,"Visit website
Support@aifactory.co.uk
Privacy Policy
23 The Avenue, Hatch End, Middlesex HA5 4EN United Kingdom"
0,"['John emulators', 'Arcade']","12,341 total",₹60.00 Buy,14 January 2020,1.1M,"100,000+",3.90,4.1 and up,"Rated for 3+
Learn more",none,none,John emulators,"Visit website
johnemulators@gmail.com
Privacy Policy
Hyogo, Japan"
Ages 6+,"['Asher Vollmer', 'Puzzle']","32,013 total",₹70.00 Buy,19 August 2020,37M,"100,000+",1.3.768,4.1 and up,"Rated for 3+
Learn more",none,none,Asher Vollmer,"Visit website
threes@hiddenvariable.com
Privacy Policy
8714 Washington Blvd Culver City, CA 90232"
0,"['Playdead', 'Adventure']","50,361 total",₹322.96 Buy,4 December 2020,28M,"500,000+",1.20,4.4 and up,"Rated for 16+
Strong violence
Learn more",none,none,Playdead,"Visit website
support@playdead.com
Privacy Policy
Playdead Pilestræde 52C, 1. floor 1112 Copenhagen K Denmark"
0,"['Pixelbite', 'Action']","12,489 total",₹99.00 Buy,14 January 2020,49M,"100,000+",1.3.2,4.3 and up,"Rated for 12+
Moderate violence
Learn more",none,none,Pixelbite,"Visit website
support@pixelbite.se
Privacy Policy
Oceangatan 3 25225 Helsingborg Sweden"
0,"['RAC7', 'Puzzle']","14,293 total",₹30.00 Buy,21 March 2016,43M,"100,000+",1.3.2,2.3 and up,"Rated for 7+
Fear
Learn more",none,none,RAC7,"Visit website
contact@rac7.com
617-1088 Richards St, Vancouver B.C. V6B 0J8 Canada"
0,"['GIANTS Software', 'Simulation']","21,822 total",₹550.00 Buy,10 December 2020,621M,"100,000+",0.0.0.65 - Google,7.0 and up,"Rated for 3+
Learn more",In-game purchases,₹95.00 – ₹280.00 per item,GIANTS Software,"Visit website
support@giants-software.com
Privacy Policy
Wiesenstrasse 19 8952 Schlieren Switzerland"
0,"['MADFINGER Games', 'Arcade']","12,216 total",₹95.00 Buy,1 July 2019,48M,"100,000+",1.3.0,4.0 and up,"Rated for 18+
Extreme violence
Learn more",Digital purchases,none,MADFINGER Games,"Visit website
contact@madfingergames.com
Privacy Policy
Skrobarenska 502/1 617 00 Brno Czech Republic"
Editors' Choice,"['GIANTS Software', 'Simulation']","40,352 total",₹380.00 Buy,17 March 2019,Varies with device,"500,000+",Varies with device,4.4 and up,"Rated for 3+
Learn more",In-game purchases,₹95.00 – ₹280.00 per item,GIANTS Software,"Visit website
support@giants-software.com
Privacy Policy
Wiesenstrasse 19 8952 Schlieren Switzerland"
0,"['17Studio', 'Racing']","3,672 total",₹29.66 Buy,1 December 2020,51M,"50,000+",9.4.1,4.0.3 and up,"Rated for 3+
Learn more",Users interact,₹10.00 – ₹420.00 per item,17Studio,"Visit website
gamingstudio17@gmail.com
Privacy Policy
gamingstudio17@gmail.com"
0,"['Feral Interactive', 'Racing']","9,829 total",₹900.00 Buy,11 December 2019,39M,"50,000+",1.6.1RC2-android,0,"Rated for 3+
Learn more",none,none,Feral Interactive,"Visit website
googleplay@feralinteractive.com
Privacy Policy
64 Kimber Road Southfields London SW18 4PP United Kingdom"
0,"['Marmalade Game Studio', 'Board']","4,594 total",₹350.00 Buy,9 December 2020,267M,"100,000+",0.0.17,6.0 and up,"Rated for 3+
Learn more",In-game purchases,"₹70.00 – ₹2,800.00 per item",Marmalade Game Studio,"Visit website
contactus@marmalademail.com
Privacy Policy
33 Charlotte Street Fitzrovia London W1T 1RR United Kingdom"
0,"['505 Games Srl', 'Adventure']","3,543 total",₹190.00 Buy,25 May 2016,Varies with device,"10,000+",1.0.0,4.0 and up,"Rated for 16+
Strong violence
Learn more",none,none,505 Games Srl,"Visit website
help@505games.com
Privacy Policy
5145 Douglas Fir Rd Calabasas, CA 91302"
0,"['ilmfinity', 'Role Playing']","30,489 total",₹49.90 Buy,16 July 2020,Varies with device,"500,000+",Varies with device,Varies with device,"Rated for 7+
Mild violence
Learn more",In-game purchases,"₹62.81 – ₹4,123.37 per item",ilmfinity,"Visit website
contact@ilmfinity.com
Privacy Policy
Ilmfinity LLC 8156 S Wadsworth Blvd. Unit E-512 Littleton, CO, 80128"
0,"['ProDual', 'Action']",427 total,₹35.00 Buy,7 December 2020,81M,"5,000+",1.18,5.1 and up,"Rated for 3+
Learn more",none,"₹90.00 – ₹4,550.00 per item",ProDual,"thanhtuan03x91@gmail.com
Privacy Policy
Thanh Tri , Hoang Mai , Ha Noi city."
0,"['Focus Home Interactive', 'Simulation']","2,688 total",₹620.00 Buy,23 November 2020,46M,"10,000+",1.3.0.8633,6.0 and up,"Rated for 3+
Learn more",In-game purchases,₹200.00 – ₹890.00 per item,Focus Home Interactive,"Visit website
support@focus-home.com
Privacy Policy
11 rue de Cambrai, Bâtiment 28 75019 Paris France"
0,"['astragon Entertainment GmbH', 'Simulation']","11,150 total",₹116.00 Buy,30 July 2019,35M,"100,000+",1.14,5.0 and up,"Rated for 3+
Learn more","Shares info, Digital purchases","₹10.00 – ₹1,800.00 per item",astragon Entertainment GmbH,"Visit website
supportcs2@astragon.de
Privacy Policy
astragon Entertainment GmbH Am Wehrhahn 33 40211 Düsseldorf Germany"
0,"['2K, Inc.', 'Sports']","35,566 total",₹490.00 Buy,28 March 2020,Varies with device,"100,000+",Varies with device,4.3 and up,"Rated for 3+
Learn more",In-game purchases,"₹80.00 – ₹4,050.00 per item","2K, Inc.","Visit website
nba2K20@2k.com
Privacy Policy
9 Hamilton Landing Novato, CA. 94949"
0,"['astragon Entertainment GmbH', 'Simulation']","9,041 total",₹390.00 Buy,6 August 2019,Varies with device,"100,000+",1.2,5.0 and up,"Rated for 3+
Learn more",Digital purchases,"₹10.00 – ₹1,800.00 per item",astragon Entertainment GmbH,"Visit website
support.cs3@astragon.com
Privacy Policy
astragon Entertainment GmbH Am Wehrhahn 33 40211 Düsseldorf Germany"
0,"['🔥🔥🔥 DamonPS2 Emulator Studio', 'Action']","14,901 total",₹649.99 Buy,19 November 2020,30M,"50,000+",3.3.2,5.1 and up,"Rated for 3+
Learn more",none,₹75.00 – ₹990.00 per item,🔥🔥🔥 DamonPS2 Emulator Studio,"Visit website
damonps2@outlook.com
Privacy Policy
Unit 04, 7/F, Bright Way Tower, No.33 Mong Kok Road, Kowloon, HK"
0,"['ustwo games', 'Puzzle']","2,28,467 total",₹260.00 Buy,23 January 2020,36M,"1,000,000+",2.7.17,4.1 and up,"Rated for 3+
Learn more",Digital purchases,₹149.16 per item,ustwo games,"Visit website
support@monumentvalleygame.com
Privacy Policy
56 Shoreditch High Street London UK E1 6JJ"
0,"['Fireproof Games', 'Puzzle']","2,20,476 total",₹140.00 Buy,4 May 2020,28M,"1,000,000+",1.10,4.1 and up,"Rated for 7+
Fear
Learn more",none,none,Fireproof Games,"Visit website
info@fireproofgames.com
Privacy Policy
Hays House Millmead Guildford GU2 4HJ United Kingdom"
